date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:41	50312/50312	---M--	200	added ('OK')	font/woff	etag:%22d25faf-c488-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/iconic/fonts/Material-Design-Iconic-Font.woff?v=2.2.0	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/iconic/fonts/Material-Design-Iconic-Fontd1f1.woff	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/iconic/css/material-design-iconic-font.min.css)
11:18:43	3897/3897	---M--	200	added ('OK')	image/gif	etag:%22d25fc5-f39-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/img/loading.gif	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/img/loading.gif	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/blueimp-gallery/blueimp-gallery.min.css)
11:18:44	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Mar%202021%2019:18:43%20GMT	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/img/error.png	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/img/error.png	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/blueimp-gallery/blueimp-gallery.min.css)
11:18:44	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Mar%202021%2019:18:43%20GMT	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/img/play-pause.png	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/img/play-pause.png	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/blueimp-gallery/blueimp-gallery.min.css)
11:18:44	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Mar%202021%2019:18:44%20GMT	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/img/error.svg	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/img/error.svg	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/blueimp-gallery/blueimp-gallery.min.css)
11:18:45	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Mar%202021%2019:18:44%20GMT	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/img/play-pause.svg	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/img/play-pause.svg	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/blueimp-gallery/blueimp-gallery.min.css)
11:18:46	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Mar%202021%2019:18:45%20GMT	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/img/video-play.png	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/img/video-play.png	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/blueimp-gallery/blueimp-gallery.min.css)
11:18:46	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Mar%202021%2019:18:45%20GMT	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/img/video-play.svg	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/img/video-play.svg	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/blueimp-gallery/blueimp-gallery.min.css)
11:18:47	3323/3323	---M--	200	added ('OK')	image/gif	etag:%22d25fc6-cfb-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/img/progressbar.gif	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/img/progressbar.gif	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/jquery-file-upload/css/jquery.fileupload-ui.css)
11:18:49	2904/2904	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22d260ac-b58-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/fonts/lg.eot	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/fonts/lg.eot	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/css/lightgallery.css)
